"OPTION_ITEM_ID","BRAND_ID","OPTION_NAME","OPTION_DESC","OPTION_PRICE","OPTION_TYPE","OPTION_CATEGORY","SELECT_RULE"
147,1,"KONA_빌트인 캠 2, 증강현실 내비게이션","빌트인 캠2
(선택 조건) 'KONA_내비게이션 패키지' 선택 시에만 선택 가능",450000,SINGLE,interior,MULTI
148,1,KONA_파킹어시스트,주차 보조 패키지,990000,SINGLE,assistant,MULTI
149,1,KONA_와이드 선루프,전동식 와이드 선루프,590000,SINGLE,etc,MULTI
150,1,KONA_투톤 컬러 루프,투톤 루프,300000,SINGLE,etc,MULTI
151,1,KONA_BOSE 프리미엄 사운드,BOSE 오디오,590000,SINGLE,interior,MULTI
152,1,KONA_클러스터(12.3인치 컬러 LCD),"12.3인치 클러스터",400000,SINGLE,interior,MULTI
153,1,KONA_컨비니언스,편의 사양 패키지,400000,SINGLE,etc,MULTI
154,1,KONA_시트플러스,시트 편의 패키지,490000,SINGLE,interior,MULTI
155,1,KONA_실내 컬러 패키지,인테리어 컬러 구성,200000,SINGLE,interior,MULTI
156,1,KONA_에코패키지,에코 관련 구성,200000,SINGLE,etc,MULTI
157,1,KONA_알칸타라 인테리어 패키지,알칸타라 인테리어,370000,SINGLE,interior,MULTI
158,1,KONA_HTRAC(험로주행모드),AWD/험로 주행 모드,2030000,SINGLE,etc,MULTI
159,1,KONA_HYBRID_내비게이션 패키지,"12.3인치 내비게이션 등",450000,SINGLE,interior,MULTI
160,1,KONA_HYBRID_하이패스,e hi-pass 포함,200000,SINGLE,etc,MULTI
161,1,KONA_HYBRID_스타일Ⅰ,휠/램프 등 스타일 구성,640000,SINGLE,wheel,MULTI
162,1,KONA_HYBRID_스타일Ⅱ,스타일 구성(Ⅱ),640000,SINGLE,wheel,MULTI
163,1,KONA_HYBRID_현대 스마트센스Ⅰ,주행/안전 보조 패키지,1100000,SINGLE,assistant,MULTI
164,1,KONA_HYBRID_현대 스마트센스Ⅲ,주행/안전 보조 패키지(Ⅲ),550000,SINGLE,assistant,MULTI
165,1,KONA_HYBRID_베스트 셀렉션Ⅰ,내비/클러스터 등 통합,690000,SINGLE,etc,MULTI
166,1,KONA_HYBRID_베스트 셀렉션Ⅱ,스마트센스/클러스터 등,790000,SINGLE,etc,MULTI
167,1,"KONA_HYBRID_빌트인 캠 2, 증강현실 내비게이션","빌트인 캠2
(선택 조건) 'KONA_HYBRID_내비게이션 패키지' 선택 시에만 선택 가능",450000,SINGLE,interior,MULTI
168,1,KONA_HYBRID_파킹어시스트,주차 보조 패키지,990000,SINGLE,assistant,MULTI
169,1,KONA_HYBRID_와이드 선루프,전동식 와이드 선루프,590000,SINGLE,etc,MULTI
170,1,KONA_HYBRID_투톤 컬러 루프,투톤 루프,300000,SINGLE,etc,MULTI
171,1,KONA_HYBRID_BOSE 프리미엄 사운드,BOSE 오디오,590000,SINGLE,interior,MULTI
172,1,KONA_HYBRID_클러스터(12.3인치 컬러 LCD),"12.3인치 클러스터",400000,SINGLE,interior,MULTI
173,1,KONA_HYBRID_컨비니언스,편의 사양 패키지,400000,SINGLE,etc,MULTI
174,1,KONA_HYBRID_시트플러스,시트 편의 패키지,490000,SINGLE,interior,MULTI
175,1,KONA_HYBRID_실내 컬러 패키지,인테리어 컬러 구성,200000,SINGLE,interior,MULTI
176,1,KONA_HYBRID_에코패키지,에코 관련 구성,200000,SINGLE,etc,MULTI
177,1,KONA_HYBRID_알칸타라 인테리어 패키지,알칸타라 인테리어,370000,SINGLE,interior,MULTI
178,1,KONA_HYBRID_HTRAC(험로주행모드),AWD/험로 주행 모드,2030000,SINGLE,etc,MULTI
41,1,네이비 투톤 인테리어,,0,SINGLE,interior,SINGLE
42,1,그레이지 투톤 인테리어,,0,SINGLE,interior,SINGLE
43,1,카멜 투톤 인테리어,,0,SINGLE,interior,SINGLE
44,1,다크 그레이 투톤 인테리어 (레드 스티치),,0,SINGLE,interior,SINGLE
45,1,"19인치 알로이 휠 & 피렐리 타이어 (기본)",N Line 기본 적용 휠,0,SINGLE,wheel,SINGLE
46,1,파킹 어시스트 I (N Line),"원격 스마트 주차 보조, 후방 주차 충돌방지 보조, 서라운드 뷰 등 (N Line 전용)",1680000,SINGLE,assistant,MULTI
47,1,인포테인먼트 내비 II,"12.3인치 내비게이션, 클러스터 등 ※ 하이패스 선택 시 e hi-pass 가능",1060000,SINGLE,assistant,MULTI
48,1,파킹 어시스트 I (HEV),"서라운드 뷰, 원격 스마트 주차 보조 등 ※ 인포테인먼트 내비 II 선택 시 가능",1680000,SINGLE,assistant,MULTI
49,1,빌트인 캠 2 (HEV),"빌트인 캠 2, 증강현실 내비게이션 ※ 내비게이션 선택 시 가능",450000,SINGLE,assistant,MULTI
50,1,익스테리어 디자인 III,"17인치 휠, Full LED 헤드램프(프로젝션), 순차점등 턴시그널",400000,SINGLE,wheel,SINGLE
22,1,빌트인 캠 2,"고화질 녹화 및 음성 녹음 지원 (내비게이션 패키지 선택 필수)
(선택 조건) '내비게이션 패키지' 선택 시에만 선택 가능",450000,SINGLE,etc,MULTI
23,1,LED 라이팅 플러스 패키지,"러기지 매트, 도어스팟 램프, 선바이저 램프, 러기지 램프",250000,SINGLE,etc,MULTI
24,1,인포테인먼트 내비 I,"12.3인치 내비게이션, 파노라믹 커브드 디스플레이, 클러스터(12.3인치 LCD), 듀얼 풀오토 에어컨 등",1400000,SINGLE,assistant,MULTI
25,1,파킹 어시스트 I,,1230000,SINGLE,assistant,MULTI
26,1,현대 스마트센스 I,"전방 충돌방지 보조, HDA, 스마트 크루즈 컨트롤 포함",1100000,SINGLE,assistant,MULTI
27,1,컴포트 I,"1열 통풍, 운전석 전동시트, 2열 열선",690000,SINGLE,interior,MULTI
28,1,컴포트 II,"메모리 시트, 동승석 전동시트",740000,SINGLE,interior,MULTI
29,1,익스테리어 디자인 I,"18인치 휠 & LED 램프 (※ 휠 포함)",690000,SINGLE,wheel,SINGLE
30,1,플래티넘 I,"헤드업 디스플레이, 디지털 키 2, 실내 지문 인증, 터치타입 도어핸들",1300000,SINGLE,wheel,SINGLE
31,1,파노라마 선루프,,1090000,SINGLE,etc,MULTI
32,1,BOSE 프리미엄 사운드,BOSE 8스피커 시스템,590000,SINGLE,etc,MULTI
33,1,파킹 어시스트 II,"서라운드 뷰, 후측방 모니터, 헤드업 디스플레이 (원격 주차 제외)",1380000,SINGLE,assistant,MULTI
34,1,컴포트 III,"2열 열선, 전동 커튼, 2열 암레스트(스키쓰루 포함) ※폴딩 불가",570000,SINGLE,interior,MULTI
35,1,익스테리어 디자인 II,"19인치 휠 포함",690000,SINGLE,wheel,SINGLE
36,1,컴포트 IV,"2열 열선시트, 2열 수동/전동 커튼, 6:4 폴딩, 승객 알림",640000,SINGLE,interior,MULTI
37,1,"2.5 터보 퍼포먼스","2.5 터보 엔진, 8단 습식 DCT, 듀얼 트윈팁 머플러 등 (원격주차/ISG 제외)",2000000,SINGLE,etc,MULTI
38,1,모노블록 브레이크 & 19인치 경량 휠 패키지,,2230000,SINGLE,wheel,SINGLE
39,1,"19인치 블랙 경량 휠 & 리얼 카본 휠캡",단조 휠 (기본 휠 대품),870000,SINGLE,wheel,SINGLE
40,1,블랙 원톤 인테리어,,0,SINGLE,interior,SINGLE
51,1,파킹 어시스트 I (HEV S),"서라운드 뷰, 원격 스마트 주차 보조, 후측방 모니터 등",1680000,SINGLE,assistant,MULTI
52,1,빌트인 캠 2 (HEV S),"빌트인 캠 2, 증강현실 내비게이션",450000,SINGLE,assistant,MULTI
53,1,스마트스트림 가솔린 3.5 엔진,V6 3.5 엔진,2470000,SINGLE,etc,MULTI
54,1,HTRAC,"4WD 시스템, 후륜 멀티링크 서스펜션
(참고) HTRAC은 4WD/험로 주행 사양에서만 적용됩니다. (파워트레인/트림에 따라 선택 불가할 수 있음)",2030000,SINGLE,etc,MULTI
55,1,차량 보호 필름,,450000,SINGLE,etc,MULTI
56,1,헤드업 디스플레이,"운전자 전방 유리에 주행 속도, 내비게이션 경로 등 주요 주행 정보 투영",700000,SINGLE,etc,MULTI
57,1,빌트인 공기청정기 2.0,,590000,SINGLE,interior,MULTI
58,1,LED 메탈 패키지,,540000,SINGLE,interior,MULTI
59,1,"20인치 고휘도 스퍼터링 휠",,950000,SINGLE,wheel,SINGLE
60,1,파킹 어시스트,"서라운드 뷰 모니터, 후측방 모니터, 측방 주차 거리 경고, 후방 주차 충돌방지 보조",1000000,SINGLE,assistant,MULTI
61,1,플래티넘,,1090000,SINGLE,interior,MULTI
62,1,현대 스마트센스 II 플러스,"HDA2, 빌트인 캠 2",1350000,SINGLE,assistant,MULTI
63,1,BOSE 프리미엄 사운드 패키지,,1190000,SINGLE,interior,MULTI
64,1,"2열 컴포트 패키지","2열 리클라이닝/통풍",990000,SINGLE,interior,MULTI
65,1,프리뷰 전자제어 서스펜션 I,"20인치 휠 포함 (19인치 휠 중복불가)",1290000,SINGLE,wheel,SINGLE
66,1,"19인치 알로이 휠 & 타이어",,250000,SINGLE,wheel,SINGLE
67,1,프리뷰 전자제어 서스펜션 II,"20인치 캘리그래피 휠",1290000,SINGLE,wheel,SINGLE
68,1,"2열 VIP 패키지","2열 리클라이닝/통풍/전동커튼",1480000,SINGLE,interior,MULTI
69,1,"2열 전동식 도어커튼",,490000,SINGLE,interior,MULTI
70,1,블랙 모노톤 내장,내장 색상 선택,0,SINGLE,interior,SINGLE
71,1,인디고/브라운 투톤 내장,내장 색상 선택,0,SINGLE,interior,SINGLE
72,1,브라운/베이지 투톤 내장,내장 색상 선택,0,SINGLE,interior,SINGLE
73,1,인디고/라이트 그레이 투톤 내장,내장 색상 선택,0,SINGLE,interior,SINGLE
74,1,블랙 잉크 전용 내장,내장 색상 선택,0,SINGLE,interior,SINGLE
75,1,사이드 스텝,승하차 편의성을 높여주는 고정식 사이드 스텝,430000,SINGLE,etc,MULTI
76,1,빌트인 공기청정기,차량 실내 미세먼지 케어 (H Genuine Accessories),520000,SINGLE,interior,MULTI
77,1,파노라마 선루프 + 루프랙,루프랙 포함,1160000,SINGLE,etc,MULTI
78,1,"빌트인 캠 2, 증강현실 내비게이션","고화질 녹화 및 AR 내비
(선택 조건) '내비게이션 패키지' 선택 시에만 선택 가능",450000,SINGLE,etc,MULTI
79,1,베스트 셀렉션 III,파킹 어시스트 III + BOSE 사운드,1220000,SINGLE,interior,MULTI
80,1,파킹 어시스트 III,서라운드 뷰 (인스퍼레이션 전용),830000,SINGLE,assistant,MULTI
81,1,"19인치 알로이 휠 & 미쉐린 타이어",,450000,SINGLE,wheel,SINGLE
82,1,"19인치 매트블랙 경량 휠",,1140000,SINGLE,wheel,SINGLE
83,1,미쉐린 타이어,N Line 전용 휠에 미쉐린 타이어 적용,200000,SINGLE,wheel,SINGLE
84,1,스마트스트림 가솔린 1.6 터보 엔진,기본 적용 엔진,0,SINGLE,etc,MULTI
85,1,스마트스트림 가솔린 2.5 터보 엔진,기본 적용 엔진,0,SINGLE,etc,MULTI
86,1,"9인승 (기본)","2-3-4 배열 (기본)",0,SINGLE,seats,SINGLE
87,1,"7인승 패키지 (Exclusive)","2열 독립시트(통풍/리클라이닝), 3열 6:4 폴딩 (2-2-3 배열)",1330000,SINGLE,seats,SINGLE
88,1,"7인승 패키지 (Prestige)","2열 독립시트(통풍/리클라이닝), 3열 6:4 폴딩 (2-2-3 배열)",1630000,SINGLE,seats,SINGLE
89,1,"7인승 패키지 (Calligraphy)","2열 독립시트(통풍/리클라이닝), 3열 6:4 폴딩 (2-2-3 배열)",2080000,SINGLE,seats,SINGLE
101,1,"18인치 알로이 휠 및 타이어",익스클루시브 기본 휠 사양. 복합연비 107.6km/kg 달성용 공력 설계 디자인 적용,0,SINGLE,wheel,SINGLE
102,1,"19인치 알로이 휠 및 타이어",대구경 알로이 휠로 외관 스타일 향상. 미쉐린 타이어 포함. ※ 복합연비 95.1km/kg로 변경됨,250000,SINGLE,wheel,SINGLE
90,1,듀얼 와이드 선루프,고정식 듀얼 글래스 + 전동 롤블라인드,850000,SINGLE,etc,MULTI
91,1,"빌트인 캠 2 Plus, 증강현실 내비게이션","고해상도 QHD 영상 저장, 음성 녹음, 증강현실 길안내",660000,SINGLE,interior,MULTI
92,1,컴포트,"천연가죽시트, 운전석 메모리/4way 럼버, 전동식 핸들, 스마트 테일게이트, 1열 발수유리",1330000,SINGLE,interior,MULTI
93,1,원격 스마트 주차 보조,차량 외부에서 원격으로 주차 및 출차 제어,660000,SINGLE,assistant,MULTI
94,1,프리뷰 전자제어 서스펜션,"21인치 휠 & 피렐리 타이어 포함 (휠 교체), 노면 정보 기반 서스펜션 제어",1230000,SINGLE,wheel,SINGLE
95,1,컴포트 플러스 (9인승),"※ [조건: 9인승] 나파가죽, 스웨이드 내장, 에르고 모션, 1열 릴렉션, 3열 전동/열선, 2열 수동커튼
(선택 조건) 7인승 사양 선택 시 선택 불가",1850000,SINGLE,interior,MULTI
96,1,컴포트 플러스 (7인승),"※ [조건: 7인승] 나파가죽, 스웨이드 내장, 2열 전동 독립시트(통풍/윙아웃/리클라이닝), 3열 전동/열선
(선택 조건) 9인승 사양 선택 시 선택 불가",2200000,SINGLE,interior,MULTI
97,1,라이프스타일 (9인승),"※ [조건: 9인승] LED 도어스팟/테일게이트 램프, 러기지 매트/스크린/네트
(선택 조건) 7인승 사양 선택 시 선택 불가",630000,SINGLE,interior,MULTI
98,1,라이프스타일 (7인승),"※ [조건: 7인승] 220V 인버터 포함, LED 도어스팟/테일게이트 램프, 러기지 매트/스크린/네트
(선택 조건) 9인승 사양 선택 시 선택 불가",700000,SINGLE,interior,MULTI
99,1,"2열 다이내믹 바디케어 시트 (Prestige)",※ [조건: 프레스티지 7인승] 2열 진동/두드림 마사지 기능 (독립시트 전용),800000,SINGLE,interior,MULTI
100,1,"2열 다이내믹 바디케어 시트 (Calligraphy)",※ [조건: 캘리그래피 7인승] 2열 진동/두드림 마사지 기능 (독립시트 전용),800000,SINGLE,interior,MULTI
103,1,하이패스(e hi-pass 포함),,200000,SINGLE,etc,MULTI
104,1,빌트인 캠 2 Plus,고해상도 영상 및 음성 녹화. 블루링크 앱 연동 및 증강현실 내비게이션 기능 포함,600000,SINGLE,interior,MULTI
105,1,실내외 V2L,차량 외부/내부 가전제품 사용 가능. 실외 V2L 커넥터 포함. 캠핑 및 야외 활동 최적화,850000,SINGLE,etc,MULTI
106,1,파킹어시스트,"서라운드 뷰, 후측방 모니터, 원격 스마트 주차 보조",990000,SINGLE,assistant,MULTI
107,1,B&O 프리미엄 사운드,,1150000,SINGLE,interior,MULTI
108,1,비전루프,파노라마 타입의 와이드 루프 적용으로 개방감 극대화. 전동 롤 블라인드 포함,900000,SINGLE,etc,MULTI
109,1,디지털 사이드 미러,사이드 미러를 카메라와 OLED 모니터로 대체. 우천 시 시야 확보 및 사각지대 해소,1380000,SINGLE,etc,MULTI
110,1,카메라 패키지,"디지털 센터 미러(카메라 클리닝 기능 포함), 운전자 모니터링 시스템 포함",750000,SINGLE,assistant,MULTI
111,1,"18인치 에어로 휠 및 타이어",공기역학 성능을 극대화한 휠 디자인. 복합 전비 6.2km/kWh 구현의 핵심 사양,0,SINGLE,wheel,SINGLE
112,1,"20인치 에어로 휠 및 타이어",고성능 피렐리 타이어 포함. 안정적인 주행감과 스포티한 외관 연출,600000,SINGLE,wheel,SINGLE
113,1,실외 V2L 커넥터,차량 외부 충전구에 연결하여 가전제품 사용 가능. 야외 활동 시 220V 전원 공급,250000,SINGLE,etc,MULTI
114,1,와이드 선루프,탁 트인 개방감을 제공하는 전동식 와이드 선루프,590000,SINGLE,etc,MULTI
115,3,"7인승 시트 구성","2-3-2 배열. 2열 벤치 시트 적용",0,SINGLE,seats,SINGLE
116,3,"6인승 시트 구성","2-2-2 배열. 2열 독립 캡틴 시트 적용",785000,SINGLE,seats,SINGLE
117,3,"21인치 R-Line 알로이 휠",R-Line 전용 대구경 디자인 휠,0,SINGLE,wheel,SINGLE
118,3,비엔나 가죽 시트 베이지,세련되고 밝은 톤의 베이지 인테리어,0,SINGLE,interior,SINGLE
119,3,비엔나 가죽 시트 블랙,모던하고 관리가 용이한 블랙 인테리어,0,SINGLE,interior,SINGLE
120,3,노팅엄 7.5J X 17,,0,SINGLE,wheel,SINGLE
121,3,아트 벨루어스 & 소울버 블랙,,0,SINGLE,interior,SINGLE
122,3,요크 9J X 20,,0,SINGLE,wheel,SINGLE
123,3,비에나 가죽 시트 미스트랄 그레이,,0,SINGLE,interior,SINGLE
124,3,비에나 가죽 시트 소울 블랙,,0,SINGLE,interior,SINGLE
125,,내비게이션 패키지,"12.3인치 내비게이션, 듀얼 풀오토 에어컨",450000,SINGLE,etc,MULTI
126,,스타일 I,"Full LED 헤드램프, 18인치 알로이 휠",640000,SINGLE,wheel,SINGLE
127,,베스트 셀렉션 I,내비 패키지 + 12.3인치 클러스터,690000,SINGLE,etc,MULTI
128,,현대 스마트센스 III,"스마트 크루즈 컨트롤, 진동 경고 스티어링 휠 등",550000,SINGLE,assistant,MULTI
129,,HTRAC(험로주행모드),"4WD 시스템, 후륜 멀티링크 서스펜션",2030000,SINGLE,etc,MULTI
130,,시트플러스,운전석/동승석 전동 릴렉션 컴포트 시트,490000,SINGLE,interior,MULTI
131,,스타일 II,"Full LED 헤드램프, 19인치 알로이 휠",640000,SINGLE,wheel,SINGLE
132,,실내 컬러 패키지,세이지 그린/베이지 컬러 포인트,200000,SINGLE,interior,SINGLE
133,,에코패키지,친환경 소재 내장재 적용,200000,SINGLE,interior,MULTI
134,,투톤 컬러 루프,블랙 투톤 루프 디자인,300000,SINGLE,etc,MULTI
135,,알칸타라 인테리어 패키지,N Line 전용 알칸타라 패키지,370000,SINGLE,interior,SINGLE
136,,클러스터(12.3인치 컬러 LCD),"12.3인치 컬러 LCD 클러스터",400000,SINGLE,etc,MULTI
137,1,내비게이션 패키지,"12.3인치 내비게이션, 듀얼 풀오토 에어컨(애프터 블로우 포함)",450000,SINGLE,etc,MULTI
138,1,투톤 컬러 루프,블랙 외장 포인트 디자인 (선루프와 중복 선택 불가),300000,SINGLE,etc,MULTI
20001,20002,K5_GASOLINE_TURBO_Prestige | 스타일,"휠/램프 등 스타일 패키지(할인 패키지 아님, 단일 옵션)",1190000,SINGLE,wheel,MULTI
20002,20002,K5_GASOLINE_TURBO_Prestige | 컴포트,"시트/편의 사양 중심 컴포트 구성(할인 패키지 아님, 단일 옵션)",990000,SINGLE,assistant,MULTI
20003,20002,K5_GASOLINE_TURBO_Prestige | 드라이브 와이즈,"주행 보조 및 안전 사양 구성(할인 패키지 아님, 단일 옵션)",740000,SINGLE,assistant,MULTI
20004,20002,K5_GASOLINE_TURBO_Prestige | 12.3인치 클러스터 팩,"12.3인치 클러스터 및 디스플레이/편의 구성",1040000,SINGLE,assistant,MULTI
20005,20002,K5_GASOLINE_TURBO_Prestige | HUD+빌트인캠2,"헤드업 디스플레이 + 빌트인 캠 2 구성
※ 12.3인치 클러스터 팩 선택 시에만 적용 가능합니다.",1090000,SINGLE,assistant,MULTI
20006,20002,K5_GASOLINE_TURBO_Prestige | KRELL 프리미엄 사운드,KRELL 프리미엄 사운드 시스템,590000,SINGLE,etc,MULTI
20007,20002,K5_GASOLINE_TURBO_Prestige | 스마트커넥트,디지털 키/무선충전/트렁크 등 스마트 편의 구성,890000,SINGLE,etc,MULTI
20008,20002,K5_GASOLINE_TURBO_Prestige | 파노라마 선루프,파노라마 선루프,1090000,SINGLE,etc,MULTI
20009,20002,K5_GASOLINE_TURBO_Noblesse | 스타일,"휠/램프 등 스타일 패키지(할인 패키지 아님, 단일 옵션)",790000,SINGLE,wheel,MULTI
20010,20002,K5_GASOLINE_TURBO_Noblesse | 컴포트,"시트/편의 사양 중심 컴포트 구성(할인 패키지 아님, 단일 옵션)",890000,SINGLE,assistant,MULTI
20011,20002,K5_GASOLINE_TURBO_Noblesse | 드라이브 와이즈,"주행 보조 및 안전 사양 구성(할인 패키지 아님, 단일 옵션)",450000,SINGLE,assistant,MULTI
20012,20002,K5_GASOLINE_TURBO_Noblesse | 12.3인치 클러스터 팩,"12.3인치 클러스터 및 디스플레이/편의 구성",0,SINGLE,assistant,MULTI
20013,20002,K5_GASOLINE_TURBO_Noblesse | HUD+빌트인캠2,헤드업 디스플레이 + 빌트인 캠 2 구성,1090000,SINGLE,assistant,MULTI
20014,20002,K5_GASOLINE_TURBO_Noblesse | KRELL 프리미엄 사운드,KRELL 프리미엄 사운드 시스템,590000,SINGLE,etc,MULTI
20015,20002,K5_GASOLINE_TURBO_Noblesse | 스마트커넥트,디지털 키/무선충전/트렁크 등 스마트 편의 구성,300000,SINGLE,etc,MULTI
20016,20002,K5_GASOLINE_TURBO_Noblesse | 파노라마 선루프,파노라마 선루프,1090000,SINGLE,etc,MULTI
20017,20002,K5_GASOLINE_TURBO_Signature | 스타일,"휠/램프 등 스타일 패키지(할인 패키지 아님, 단일 옵션)",300000,SINGLE,wheel,MULTI
20018,20002,K5_GASOLINE_TURBO_Signature | 컴포트,"시트/편의 사양 중심 컴포트 구성(할인 패키지 아님, 단일 옵션)",590000,SINGLE,assistant,MULTI
20019,20002,K5_GASOLINE_TURBO_Signature | 드라이브 와이즈,"주행 보조 및 안전 사양 구성(할인 패키지 아님, 단일 옵션)",0,SINGLE,assistant,MULTI
20020,20002,K5_GASOLINE_TURBO_Signature | 12.3인치 클러스터 팩,"12.3인치 클러스터 및 디스플레이/편의 구성",0,SINGLE,assistant,MULTI
20021,20002,K5_GASOLINE_TURBO_Signature | HUD+빌트인캠2,헤드업 디스플레이 + 빌트인 캠 2 구성,1090000,SINGLE,assistant,MULTI
20022,20002,K5_GASOLINE_TURBO_Signature | KRELL 프리미엄 사운드,KRELL 프리미엄 사운드 시스템,590000,SINGLE,etc,MULTI
20023,20002,K5_GASOLINE_TURBO_Signature | 스마트커넥트,디지털 키/무선충전/트렁크 등 스마트 편의 구성,0,SINGLE,etc,MULTI
20024,20002,K5_GASOLINE_TURBO_Signature | 블랙 핏,블랙 전용 내/외장 디자인 요소,790000,SINGLE,etc,MULTI
20025,20002,EV6_라이트 | 스마트 파워테일게이트,라이트 트림 전용 가격표 기준,400000,SINGLE,etc,MULTI
20026,20002,EV6_라이트 | 드라이브 와이즈,라이트 트림 전용 가격표 기준,1100000,SINGLE,assistant,MULTI
20027,20002,EV6_라이트 | 컨비니언스 I,라이트 트림 전용 가격표 기준,500000,SINGLE,etc,MULTI
20028,20002,EV6_라이트 | 컨비니언스 II,라이트 트림 전용 가격표 기준,900000,SINGLE,etc,MULTI
20029,20002,EV6_라이트 | 듀얼 모터 4WD,라이트 트림 전용 가격표 기준,2470000,SINGLE,etc,MULTI
20030,20002,EV6_라이트 | 20인치 휠&타이어,라이트 트림 전용 가격표 기준,400000,SINGLE,wheel,MULTI
20031,20002,EV6_에어 | 스마트 파워테일게이트,에어 트림 전용 가격표 기준,0,SINGLE,etc,MULTI
20032,20002,EV6_에어 | 드라이브 와이즈,에어 트림 전용 가격표 기준,650000,SINGLE,assistant,MULTI
20033,20002,EV6_에어 | 컴포트,에어 트림 전용 가격표 기준,1040000,SINGLE,etc,MULTI
20034,20002,EV6_에어 | 컨비니언스 I,에어 트림 전용 가격표 기준,0,SINGLE,etc,MULTI
20035,20002,EV6_에어 | 컨비니언스 II,에어 트림 전용 가격표 기준,0,SINGLE,etc,MULTI
20036,20002,EV6_에어 | 하이테크,에어 트림 전용 가격표 기준,690000,SINGLE,etc,MULTI
