"OPTION_DEPENDENCY_ID","OPTION_ITEM_ID","RELATED_OPTION_ITEM_ID","RULE_TYPE"
20087,21264,21256,REQUIRES
20088,21265,21256,REQUIRES
20089,20911,20910,REQUIRES
20090,20936,20935,REQUIRES
20091,20937,20935,REQUIRES
20092,20938,20935,REQUIRES
20093,20939,20935,REQUIRES
20094,20940,20935,REQUIRES
20095,20939,20940,EXCLUDES
20096,20940,20939,EXCLUDES
20097,20961,20960,REQUIRES
20098,20962,20960,REQUIRES
20099,20965,20963,REQUIRES
20100,20966,20963,REQUIRES
20101,20969,20967,REQUIRES
20102,20970,20967,REQUIRES
20103,20972,20971,REQUIRES
20104,20973,20971,REQUIRES
20105,20976,20974,REQUIRES
20106,20977,20974,REQUIRES
20107,20980,20978,REQUIRES
20108,20981,20978,REQUIRES
20109,21007,20988,REQUIRES
20110,21016,21012,REQUIRES
20111,21094,21090,REQUIRES
20112,21102,21098,REQUIRES
20113,20831,20829,EXCLUDES
20114,20829,20831,EXCLUDES
20115,20836,20834,EXCLUDES
20116,20834,20836,EXCLUDES
20117,20841,20839,EXCLUDES
20118,20839,20841,EXCLUDES
20119,20846,20844,EXCLUDES
20120,20844,20846,EXCLUDES
20121,20851,20849,EXCLUDES
20122,20849,20851,EXCLUDES
20123,20856,20854,EXCLUDES
20124,20854,20856,EXCLUDES
20125,20861,20859,EXCLUDES
20126,20859,20861,EXCLUDES
20127,20866,20864,EXCLUDES
20128,20864,20866,EXCLUDES
20129,20871,20869,EXCLUDES
20130,20869,20871,EXCLUDES
20131,20876,20874,EXCLUDES
20132,20874,20876,EXCLUDES
20133,20881,20879,EXCLUDES
20134,20879,20881,EXCLUDES
20135,20886,20884,EXCLUDES
20136,20884,20886,EXCLUDES
20137,20891,20889,EXCLUDES
20138,20889,20891,EXCLUDES
20139,20896,20894,EXCLUDES
20140,20894,20896,EXCLUDES
20141,20901,20899,EXCLUDES
20142,20899,20901,EXCLUDES
20143,20906,20904,EXCLUDES
20144,20904,20906,EXCLUDES
20145,20828,20988,REQUIRES
20146,20833,21021,REQUIRES
20147,20848,21012,REQUIRES
20148,20853,21032,REQUIRES
20149,20923,20922,REQUIRES
20150,21218,21217,REQUIRES
20151,21239,21238,REQUIRES
20152,21295,21294,REQUIRES
20153,21307,21306,REQUIRES
20154,21327,21326,REQUIRES
20155,21348,21347,REQUIRES
20156,21365,21364,REQUIRES
20157,21377,21376,REQUIRES
20158,21397,21396,REQUIRES
20159,21421,21420,REQUIRES
20160,21256,21257,EXCLUDES
20161,21256,21268,EXCLUDES
20162,21256,21274,EXCLUDES
20163,21267,21258,REQUIRES
20164,21267,21259,EXCLUDES
20165,20694,20693,REQUIRES
20166,20695,20693,REQUIRES
20167,20701,20700,REQUIRES
20168,20702,20700,REQUIRES
20169,20710,20709,REQUIRES
20170,20711,20709,REQUIRES
20171,20720,20719,REQUIRES
20172,20721,20719,REQUIRES
20173,20730,20729,REQUIRES
20174,20731,20729,REQUIRES
20175,20738,20737,REQUIRES
20176,20739,20737,REQUIRES
20177,20747,20746,REQUIRES
20178,20748,20746,REQUIRES
20179,20757,20756,REQUIRES
20180,20758,20756,REQUIRES
20181,20764,20770,EXCLUDES
20182,20770,20764,EXCLUDES
20183,20765,20771,EXCLUDES
20184,20771,20765,EXCLUDES
20185,20766,20772,EXCLUDES
20186,20772,20766,EXCLUDES
20187,20767,20773,EXCLUDES
20188,20773,20767,EXCLUDES
20189,20768,20775,EXCLUDES
20190,20775,20768,EXCLUDES
20191,20769,20776,EXCLUDES
20192,20776,20769,EXCLUDES
40001,40002,40001,REQUIRES
40002,40003,40001,REQUIRES
40003,40007,40006,REQUIRES
40004,40009,40008,EXCLUDES
40005,40012,40011,REQUIRES
40006,40015,40014,REQUIRES
40007,40016,40014,REQUIRES
40008,40018,40022,REQUIRES
40009,40019,40022,REQUIRES
40010,40020,40021,EXCLUDES
40011,40032,40033,REQUIRES
40012,40025,40034,REQUIRES
40013,40030,40031,EXCLUDES
40014,40031,40030,EXCLUDES
4,147,139,REQUIRES
5,149,150,EXCLUDES
6,167,159,REQUIRES
7,169,170,EXCLUDES
1,78,125,REQUIRES
2,22,137,REQUIRES
3,114,138,EXCLUDES
8,95,87,EXCLUDES
9,95,88,EXCLUDES
10,95,89,EXCLUDES
11,97,87,EXCLUDES
12,97,88,EXCLUDES
13,97,89,EXCLUDES
14,96,86,EXCLUDES
15,98,86,EXCLUDES
90001,90012,90010,EXCLUDES
90002,90010,90012,EXCLUDES
90003,90012,90011,EXCLUDES
90004,90011,90012,EXCLUDES
